Date,Open,High,Low,Close,Volume,Adj Close
2016-11-30,446.30,448.30,431.80,433.50,15708900,422.50
2016-11-29,438.70,447.202,434.20,444.50,11453300,433.221
2016-11-28,440.40,442.60,431.30,436.90,7522900,425.814
2016-11-25,439.20,446.261,437.70,440.10,7686700,428.933
2016-11-24,452.00,455.30,438.70,440.50,6332800,429.322
2016-11-23,453.30,463.30,449.60,450.60,42577200,439.166
2016-11-22,447.00,455.60,444.521,453.70,16283200,442.187
2016-11-21,448.50,448.60,439.80,443.30,4262400,432.051
2016-11-18,448.90,452.00,442.85,446.00,12418700,434.683
2016-11-17,443.60,448.80,442.40,447.00,7640900,435.657
2016-11-16,453.20,455.50,441.20,444.20,10989400,432.929
2016-11-15,447.00,454.90,441.00,453.80,13995900,442.285
2016-11-14,444.30,447.30,439.00,440.70,14143000,429.517
2016-11-11,438.20,443.90,431.00,440.60,12167500,429.42
2016-11-10,446.00,454.20,432.50,434.40,11628500,423.377
2016-11-09,422.50,445.137,417.60,441.70,15672400,430.492
2016-11-08,446.80,451.20,436.60,440.80,12276900,429.615
2016-11-07,441.00,445.60,435.00,445.30,13879600,434.001
2016-11-04,444.00,452.28,427.30,434.70,14540800,423.67
2016-11-03,439.60,459.419,437.50,450.80,13696900,439.361
2016-11-02,439.70,442.34,437.30,441.40,9772500,430.20
2016-11-01,438.30,444.90,413.736,443.10,12863100,431.856
2016-10-31,440.00,447.00,433.00,434.40,10789000,423.377
2016-10-28,413.90,444.40,408.696,438.00,19579600,426.886
2016-10-27,419.00,420.30,406.50,413.50,13334400,403.008
2016-10-26,399.90,424.521,399.30,422.70,14907700,411.974
2016-10-25,405.00,405.90,394.80,401.80,8163700,391.604
2016-10-24,401.90,410.10,400.40,404.80,7637400,394.528
2016-10-21,399.00,401.50,396.30,399.70,8799300,389.558
2016-10-20,399.70,406.30,397.10,400.90,32406900,390.727
2016-10-19,395.00,396.10,364.963,393.10,9890900,383.125
2016-10-18,365.00,391.588,362.40,386.70,21846200,376.888
2016-10-17,379.00,384.20,375.90,377.50,7359700,367.921
2016-10-14,372.50,383.40,371.384,379.40,21222900,369.773
2016-10-13,379.40,381.50,281.725,371.50,14754900,362.073
2016-10-12,378.40,384.30,376.40,379.40,11777400,369.773
2016-10-11,362.00,377.951,357.30,376.10,13600400,366.557
2016-10-10,365.10,369.20,356.60,362.70,10017300,353.497
2016-10-07,379.10,385.057,283.267,364.80,24503700,355.543
2016-10-06,392.90,394.20,379.583,381.30,14368000,371.625
